checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,random_k,18.0,"(38, 24, 28)",4.748631000518799,0.009921670891344547,4.748676776885986,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747025966644287,0.008390200324356556,4.57763671875e-05,0.0,-3.7670135498046875e-05,0.0
pre,random_k,19.0,"(26, 48, 40)",4.748631000518799,0.009921670891344547,4.748593330383301,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747046947479248,0.008390200324356556,-3.7670135498046875e-05,0.0,-1.6689300537109375e-05,0.0
pre,random_k,20.0,"(9, 26, 40)",4.748631000518799,0.009921670891344547,4.748578071594238,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747048377990723,0.008390200324356556,-5.2928924560546875e-05,0.0,-1.52587890625e-05,0.0
pre,random_k,21.0,"(7, 42, 27)",4.748631000518799,0.009921670891344547,4.748569965362549,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747072219848633,0.008390200324356556,-6.103515625e-05,0.0,8.58306884765625e-06,0.0
pre,random_k,22.0,"(55, 42, 32)",4.748631000518799,0.009921670891344547,4.748617172241211,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747056007385254,0.008390200324356556,-1.3828277587890625e-05,0.0,-7.62939453125e-06,0.0
pre,random_k,23.0,"(10, 46, 50)",4.748631000518799,0.009921670891344547,4.748591423034668,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470598220825195,0.008390200324356556,-3.9577484130859375e-05,0.0,-3.814697265625e-06,0.0
pre,random_k,24.0,"(21, 11, 48)",4.748631000518799,0.009921670891344547,4.748565196990967,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747045040130615,0.008390200324356556,-6.580352783203125e-05,0.0,-1.8596649169921875e-05,0.0
pre,random_k,25.0,"(9, 46, 40)",4.748631000518799,0.009921670891344547,4.748534202575684,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747067928314209,0.008390200324356556,-9.679794311523438e-05,0.0,4.291534423828125e-06,0.0
pre,random_k,26.0,"(53, 44, 1)",4.748631000518799,0.009921670891344547,4.748713970184326,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746997833251953,0.008390200324356556,8.296966552734375e-05,0.0,-6.580352783203125e-05,0.0
pre,random_k,27.0,"(29, 16, 47)",4.748631000518799,0.009921670891344547,4.748684406280518,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747030258178711,0.008390200324356556,5.340576171875e-05,0.0,-3.337860107421875e-05,0.0
pre,random_k,28.0,"(52, 43, 30)",4.748631000518799,0.009921670891344547,4.748706817626953,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747010231018066,0.008390200324356556,7.581710815429688e-05,0.0,-5.340576171875e-05,0.0
pre,random_k,29.0,"(48, 18, 47)",4.748631000518799,0.009921670891344547,4.748786449432373,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746985912322998,0.008390200324356556,0.00015544891357421875,0.0,-7.772445678710938e-05,0.0
pre,random_k,30.0,"(45, 13, 37)",4.748631000518799,0.009921670891344547,4.748764991760254,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746980667114258,0.008390200324356556,0.00013399124145507812,0.0,-8.296966552734375e-05,0.0
pre,random_k,31.0,"(35, 40, 47)",4.748631000518799,0.009921670891344547,4.748659133911133,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747031211853027,0.008390200324356556,2.8133392333984375e-05,0.0,-3.24249267578125e-05,0.0
pre,random_k,32.0,"(55, 29, 47)",4.748631000518799,0.009921670891344547,4.748751163482666,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7469916343688965,0.008390200324356556,0.0001201629638671875,0.0,-7.200241088867188e-05,0.0
pre,random_k,33.0,"(45, 52, 13)",4.748631000518799,0.009921670891344547,4.748795509338379,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746977806091309,0.008390200324356556,0.00016450881958007812,0.0,-8.58306884765625e-05,0.0
pre,random_k,34.0,"(22, 15, 14)",4.748631000518799,0.009921670891344547,4.748624324798584,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470479011535645,0.008390200324356556,-6.67572021484375e-06,0.0,-1.5735626220703125e-05,0.0
pre,random_k,35.0,"(42, 1, 48)",4.748631000518799,0.009921670891344547,4.7486138343811035,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470598220825195,0.008390200324356556,-1.71661376953125e-05,0.0,-3.814697265625e-06,0.0
pre,random_k,36.0,"(27, 31, 46)",4.748631000518799,0.009921670891344547,4.7486677169799805,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747018814086914,0.008390200324356556,3.6716461181640625e-05,0.0,-4.482269287109375e-05,0.0
pre,random_k,37.0,"(16, 2, 15)",4.748631000518799,0.009921670891344547,4.74854040145874,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747097969055176,0.008390200324356556,-9.059906005859375e-05,0.0,3.4332275390625e-05,0.0
pre,random_k,38.0,"(39, 54, 31)",4.748631000518799,0.009921670891344547,4.748719215393066,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7469892501831055,0.008390200324356556,8.821487426757812e-05,0.0,-7.43865966796875e-05,0.0
pre,random_k,39.0,"(42, 24, 1)",4.748631000518799,0.009921670891344547,4.7485761642456055,0.009921670891344547,4.747063636779785,0.008390200324356556,4.74707555770874,0.008390200324356556,-5.4836273193359375e-05,0.0,1.1920928955078125e-05,0.0
pre,random_k,40.0,"(42, 27, 30)",4.748631000518799,0.009921670891344547,4.748598575592041,0.009921670891344547,4.747063636779785,0.008390200324356556,4.74705696105957,0.008390200324356556,-3.24249267578125e-05,0.0,-6.67572021484375e-06,0.0
pre,random_k,41.0,"(4, 15, 13)",4.748631000518799,0.009921670891344547,4.748641490936279,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747045993804932,0.008390200324356556,1.049041748046875e-05,0.0,-1.7642974853515625e-05,0.0
pre,random_k,42.0,"(2, 36, 22)",4.748631000518799,0.009921670891344547,4.748568058013916,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747064113616943,0.008390200324356556,-6.29425048828125e-05,0.0,4.76837158203125e-07,0.0
